name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,tags
Puma Unisex-Baby Smash V2 Animals V Inf Closed Shoe,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71CRLDq4BdL._AC_UL320_.jpg,https://www.amazon.in/Puma-Unisexs-Vaporous-Gray-Paprika-37318501/dp/B081R28ZQP/ref=sr_1_8646?qid=1679148930&s=shoes&sr=1-8646,4.3,34,"₹1,220","₹3,299",men's shoes Casual Shoes
Clarks Mens Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81n6pJAC3yL._AC_UL320_.jpg,https://www.amazon.in/Clarks-Mens-Grey-Sneakers-6-5-26145934/dp/B07WBX6B2S/ref=sr_1_8647?qid=1679148930&s=shoes&sr=1-8647,4.5,16,"₹3,150","₹6,999",men's shoes Casual Shoes
BXXY Mens Loafers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/616fXItgwbL._AC_UL320_.jpg,https://www.amazon.in/BXXY-Casual-Loafer-Latest-Shoes/dp/B07P74YCLN/ref=sr_1_8648?qid=1679148930&s=shoes&sr=1-8648,3.6,13,₹546,₹999,men's shoes Casual Shoes
Woodland Men's Canvas Sneakers - (GC 2533117C),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61ZfnIG7qYL._AC_UL320_.jpg,https://www.amazon.in/Woodland-2532117C-Sneakers-7-GC-2533117C_Brown_7/dp/B07GB66MS8/ref=sr_1_8649?qid=1679148930&s=shoes&sr=1-8649,3.5,74,"₹1,377","₹2,295",men's shoes Casual Shoes
US Polo Association Men Arsen Navy Sneakers-9 UK (10 US) (2531821579),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81k0N7yIrbL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Association-Sneakers-9-2531821579/dp/B07FXRG6W9/ref=sr_1_8650?qid=1679148930&s=shoes&sr=1-8650,3.2,8,"₹1,489","₹2,799",men's shoes Casual Shoes
Puma mens Lazer Evo IDP Peacoat-Ribbon Red Sneaker - 10 UK (36851401),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81pPiOj-1ML._AC_UL320_.jpg,https://www.amazon.in/Puma-Peacoat-Ribbon-Sneakers-10-India-4060979137288/dp/B07FNWQTRQ/ref=sr_1_8651?qid=1679148930&s=shoes&sr=1-8651,4.1,61,"₹1,872.81","₹3,499",men's shoes Casual Shoes
MACTREE Men's Brown Premium Mid Top Zipper Formal Shoes 2770-5 Moccasin Boots,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/615BGy72SiL._AC_UL320_.jpg,https://www.amazon.in/Mactree-Premium-Zipper-Formal-2770-5/dp/B07CM57DK8/ref=sr_1_8652?qid=1679148930&s=shoes&sr=1-8652,3.4,3,₹878,"₹2,899",men's shoes Casual Shoes
crocs Mens Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71qGCEzYoBL._AC_UL320_.jpg,https://www.amazon.in/crocs-Santa-Playa-Lace-up-Sneaker/dp/B078214N5R/ref=sr_1_8653?qid=1679148930&s=shoes&sr=1-8653,3.9,"1,181","₹3,006","₹5,995",men's shoes Casual Shoes
Nike Blazer Low '77 PRM Mens Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51KLsOupzuL._AC_UL320_.jpg,https://www.amazon.in/Nike-Blazer-Mens-Sneaker-Numeric_7_Point_5/dp/B0BRSP6779/ref=sr_1_8654?qid=1679148930&s=shoes&sr=1-8654,,,"₹8,590","₹8,595",men's shoes Casual Shoes
LOUIS STITCH Men's Italian Leather High Ankle Boots Ash Grey Handmade British Style Shoes for Men Hiking Biking (WBNDGY_GE),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71A62T5ZemL._AC_UL320_.jpg,https://www.amazon.in/LOUIS-STITCH-Italian-Handmade-WBNDGY_GE/dp/B0BRPX7YK5/ref=sr_1_8655?qid=1679148930&s=shoes&sr=1-8655,,,"₹1,999","₹8,999",men's shoes Casual Shoes
DUKE Men Chelsea Boots,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/716qiTK6+ML._AC_UL320_.jpg,https://www.amazon.in/Duke-Men-Chelsea-Boots-Black/dp/B0BN3CWP6P/ref=sr_1_8656?qid=1679148930&s=shoes&sr=1-8656,,,"₹1,573","₹4,495",men's shoes Casual Shoes
StreetLookTrendy Sneakers Shoes for Men's & Boys Sky,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71ydGYlFp9L._AC_UL320_.jpg,https://www.amazon.in/StreetLookTrendy-Sneakers-Shoes-Mens-Boys/dp/B0BH17VSNW/ref=sr_1_8657?qid=1679148930&s=shoes&sr=1-8657,4.0,1,₹779,"₹1,299",men's shoes Casual Shoes
Zoom Shoes mens A-4369 Chelsea Boot,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/41LFVYfwWzL._AC_UL320_.jpg,https://www.amazon.in/Zoom-Shoes-Genuine-Leather-Formal/dp/B0BFLCXPXZ/ref=sr_1_8658?qid=1679148930&s=shoes&sr=1-8658,2.5,2,"₹2,572","₹3,399",men's shoes Casual Shoes
Birde Premium Sneakers for Men-BRD-860_Main,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/613mUPgzb9L._AC_UL320_.jpg,https://www.amazon.in/Birde-Premium-White-Sneakers-Men-BRD-860_7/dp/B0BCQ3VC21/ref=sr_1_8659?qid=1679148930&s=shoes&sr=1-8659,,,₹449,"₹1,499",men's shoes Casual Shoes
FAUSTO Men's Driving Outdoor Tassel Loafer and Moccasin Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/616L7IT1UPL._AC_UL320_.jpg,https://www.amazon.in/FAUSTO-FST-FOSMC-2027-BROWN-40-Moccasin/dp/B0BBRVB3PL/ref=sr_1_8660?qid=1679148930&s=shoes&sr=1-8660,,,"₹1,499","₹3,299",men's shoes Casual Shoes
"Ageshub Pull-On Stylish Comfortable Loafers for Men for Parties, Office, Casual",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61NKBuxf2XL._AC_UL320_.jpg,https://www.amazon.in/Ageshub-Stylish-Comfortable-Loafers-Numeric_8/dp/B0BBBK6SW2/ref=sr_1_8665?qid=1679148930&s=shoes&sr=1-8665,5.0,1,₹499,₹899,men's shoes Casual Shoes
Inklenzo Mojaris Loafers Nagra Casual Shoes for Men Loafers Ethnic wear Kurta Pajama Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71gPAAbyeCL._AC_UL320_.jpg,https://www.amazon.in/Inklenzo-Mojaris-Loafers-Casual-Ethnic/dp/B0B66YL5HK/ref=sr_1_8666?qid=1679148930&s=shoes&sr=1-8666,3.5,9,₹499,₹999,men's shoes Casual Shoes
tresmode Casual Leather Loafer for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/41OJIhofotL._AC_UL320_.jpg,https://www.amazon.in/tresmode-221-APENNY-Black-Loafers-Mens/dp/B0B5GZZP57/ref=sr_1_8667?qid=1679148930&s=shoes&sr=1-8667,,,"₹3,750","₹7,800",men's shoes Casual Shoes
LOUIS STITCH Men's Olive Green Italian Suede Leather Moccasin Loafer Designer Tassel Stylish Casual Shoes for Men (SUMCTAO...,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61CBdS3yITL._AC_UL320_.jpg,https://www.amazon.in/LOUIS-STITCH-Italian-Moccasin-LSSUMCTAOG/dp/B09TGTK768/ref=sr_1_8668?qid=1679148930&s=shoes&sr=1-8668,,,"₹1,999","₹6,999",men's shoes Casual Shoes
Lazard by Khadim's Synthetic Blue Laces Casual Shoe for Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61PNM-e8jlL._AC_UL320_.jpg,https://www.amazon.in/Lazard-Khadims-Blue-Casual-Shoe/dp/B09SQ4CLYV/ref=sr_1_8669?qid=1679148930&s=shoes&sr=1-8669,5.0,1,₹599,"₹1,199",men's shoes Casual Shoes
Camfoot Mens Multicolor Combo_(2)_5014-9325 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/615IZNrjMVL._AC_UL320_.jpg,https://www.amazon.in/Camfoot-Multicolor-Combo_-_5014-9325-Sneaker/dp/B09P6LGR89/ref=sr_1_8670?qid=1679148930&s=shoes&sr=1-8670,,,₹655,₹998,men's shoes Casual Shoes
XTEP Men's Breathable Mesh Upper Rebouncing Outsole Casual Shoes (White Blue),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61bdIeEI+qL._AC_UL320_.jpg,https://www.amazon.in/XTEP-Breathable-Rebouncing-Outsole-Casual/dp/B09P1142JH/ref=sr_1_8671?qid=1679148930&s=shoes&sr=1-8671,,,"₹3,959","₹6,599",men's shoes Casual Shoes
BATA Men's P-Slip ON Grey Sneaker (8592070),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51KYTsO2ENL._AC_UL320_.jpg,https://www.amazon.in/BATA-Mens-P-Slip-Sneaker-8592070/dp/B09MFQTFN9/ref=sr_1_8672?qid=1679148930&s=shoes&sr=1-8672,,,,₹949,men's shoes Casual Shoes
Brighto SHOES Men's Tassel Loafers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71CJAzNt3UL._AC_UL320_.jpg,https://www.amazon.in/Brighto-SHOES-Synthetic-Tassel-Loafer/dp/B09JZKDHV3/ref=sr_1_8673?qid=1679148930&s=shoes&sr=1-8673,3.1,4,₹599,"₹1,299",men's shoes Casual Shoes
Puma Unisex-Adult Game Black-White Sneaker - 10 UK (38676302),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/616UTYY39yL._AC_UL320_.jpg,https://www.amazon.in/PUMA-Unisex-Basics-Black-38676302-10/dp/B09HTHF8CH/ref=sr_1_8674?qid=1679148930&s=shoes&sr=1-8674,4.1,9,"₹2,250","₹4,499",men's shoes Casual Shoes
Fusefit Mens Chetak Tennis Shoe,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51D41yWcLNL._AC_UL320_.jpg,https://www.amazon.in/Fusefit-FFR-1007-Fusefit_Mens_Trainning-Casual-Shoes_CHETAK_Black_7/dp/B09H73ZCGS/ref=sr_1_8675?qid=1679148930&s=shoes&sr=1-8675,3.6,7,₹459,"₹2,299",men's shoes Casual Shoes
Maddy mens Clog Clog,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/515Pr86BEgL._AC_UL320_.jpg,https://www.amazon.in/Maddy-Comfortable-Regular-Clogs-Numeric_7/dp/B09G6LQDFC/ref=sr_1_8676?qid=1679148930&s=shoes&sr=1-8676,3.0,9,₹399,₹999,men's shoes Casual Shoes
KNOOS Mens Synthetic Casual Loafers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61gLs7G80US._AC_UL320_.jpg,https://www.amazon.in/KNOOS-Synthetic-Casual-Loafers-Black/dp/B091YG7D42/ref=sr_1_8677?qid=1679148930&s=shoes&sr=1-8677,1.0,1,₹699,₹999,men's shoes Casual Shoes
Adidas Unisex-Adult X Speedflow.3 in Football Shoe,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71+Upm3s5xL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Unisex-Synthetic-Flow-3-Football/dp/B0919N78F8/ref=sr_1_8678?qid=1679148930&s=shoes&sr=1-8678,3.7,6,"₹3,211.35","₹6,999",men's shoes Casual Shoes
LOUIS STITCH Men's Italian Suede Leather High Ankle Boots Handmade Shoes for Biking Hiking (British Tan) (SHSUCLTB) (Size-...,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71Yk2ixRieL._AC_UL320_.jpg,https://www.amazon.in/LOUIS-STITCH-British-Handmade-Italian/dp/B08YRRPYGC/ref=sr_1_8679?qid=1679148930&s=shoes&sr=1-8679,3.4,4,,"₹1,999",men's shoes Casual Shoes
Amico Men's Fashion Sandals White,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61KAI-0PfxL._AC_UL320_.jpg,https://www.amazon.in/Amico-Mens-Fashion-Sandals-White/dp/B08WWZ69LP/ref=sr_1_8680?qid=1679148930&s=shoes&sr=1-8680,3.9,3,₹499,"₹1,499",men's shoes Casual Shoes
Fashion Victim men casual shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51uXNErAOrL._AC_UL320_.jpg,https://www.amazon.in/Fashion-Victim-men-casual-shoes/dp/B08TW1R7GS/ref=sr_1_8681?qid=1679148930&s=shoes&sr=1-8681,3.5,8,₹599,"₹2,199",men's shoes Casual Shoes
"eeken Navy Lifestyle Lightweight Casual Shoes for Men (by Paragon,Size-6)",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/619fgzp6bqL._AC_UL320_.jpg,https://www.amazon.in/eeken-Lifestyle-Lightweight-Casual-Paragon/dp/B08RZ1RFBR/ref=sr_1_8682?qid=1679148930&s=shoes&sr=1-8682,3.5,2,,"₹1,699",men's shoes Casual Shoes
DESI HANGOVER Men's Handcrafted Leather Casual Slip-On Loafer Shoes Tycoon,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51EXJkXzLZL._AC_UL320_.jpg,https://www.amazon.in/DESI-HANGOVER-Handcrafted-Leather-Casual/dp/B08LMXRB2K/ref=sr_1_8683?qid=1679148930&s=shoes&sr=1-8683,3.5,16,,"₹3,290",men's shoes Casual Shoes
PUMA RS 2.0 Winterized Adults-Unisex Sneaker Shoes(UK 9-Black),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61rJTSiMAqL._AC_UL320_.jpg,https://www.amazon.in/Winterized-Adults-Unisex-Sneaker-Shoes-9-Black/dp/B08KPVDHY2/ref=sr_1_8684?qid=1679148930&s=shoes&sr=1-8684,5.0,1,,"₹7,999",men's shoes Casual Shoes
Big Fox Men's Colorblock Synthetic Loafer Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61kkKUidIBL._AC_UL320_.jpg,https://www.amazon.in/Big-Fox-Colorblock-Synthetic-Loafer/dp/B08J4K4NKG/ref=sr_1_8685?qid=1679148930&s=shoes&sr=1-8685,3.7,51,₹499,"₹1,499",men's shoes Casual Shoes
US Polo Association mens Beesley 2.0 Sliders,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61Twoma8weL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Association-BEESLEY-2FD20250Z01/dp/B08HZ46WWC/ref=sr_1_8686?qid=1679148930&s=shoes&sr=1-8686,3.4,291,₹879,"₹1,599",men's shoes Casual Shoes
CLIFF FJORD Men's Casual Suede Leather Chelsea Boots | Comfortable Winter Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71KGY3jq0LL._AC_UL320_.jpg,https://www.amazon.in/CLIFF-FJORD-Casual-Leather-Comfortable/dp/B08GM1XST9/ref=sr_1_8687?qid=1679148930&s=shoes&sr=1-8687,4.0,11,"₹1,499","₹2,999",men's shoes Casual Shoes
PARA COMMANDO Genuine Leather Army Print Long Military Combat Boots Boots For Men,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61vIPbZEQaL._AC_UL320_.jpg,https://www.amazon.in/PARA-COMMANDO-Genuine-Leather-Military/dp/B08CMLGZ2F/ref=sr_1_8688?qid=1679148930&s=shoes&sr=1-8688,4.0,1,₹999,"₹2,999",men's shoes Casual Shoes
Shoes fly Men's Running Shoes (Set of 2 Pairs),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61JkvXxzfvL._AC_UL320_.jpg,https://www.amazon.in/Shoefly-Multicolour-Latest-Collection-Running/dp/B084KP46VD/ref=sr_1_8689?qid=1679148930&s=shoes&sr=1-8689,3.0,145,₹507,₹998,men's shoes Casual Shoes
U.S. POLO ASSN. Mens Linore MID TOP,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61kt1to8fhL._AC_UL320_.jpg,https://www.amazon.in/Polo-Assn-LINORE-Sneaker-25320099/dp/B0841K1D45/ref=sr_1_8690?qid=1679148930&s=shoes&sr=1-8690,4.8,12,"₹2,602","₹3,999",men's shoes Casual Shoes
Shoefly Men's Multi-Coloured Canvas Casual Shoes/Loafers - Pack of 2 (Combo-(2)-114-5014),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61xsBqH6ZXL._AC_UL320_.jpg,https://www.amazon.in/Shoefly-Multi-Coloured-Canvas-Casual-Loafers/dp/B083WGF628/ref=sr_1_8691?qid=1679148930&s=shoes&sr=1-8691,3.2,64,₹441,₹998,men's shoes Casual Shoes
Franco Leone Men Textile Black Sport Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51T4QVP6w1L._AC_UL320_.jpg,https://www.amazon.in/Franco-Leone-Textile-Black-Sport/dp/B081D15JR7/ref=sr_1_8692?qid=1679148930&s=shoes&sr=1-8692,,,"₹1,664","₹3,999",men's shoes Casual Shoes
Puma unisex-adult SF Drift Cat 8 Puma Black-Puma White Sneaker - 7 UK (33993501),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71HcaKuQ-rL._AC_UL320_.jpg,https://www.amazon.in/Puma-Scuderia-Ferrari-Drift-Shoes/dp/B07SJ1JHGX/ref=sr_1_8693?qid=1679148930&s=shoes&sr=1-8693,4.1,30,"₹5,599","₹7,999",men's shoes Casual Shoes
Walkway Mens 17-9590 Loafers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61bvZ-x6J7L._AC_UL320_.jpg,https://www.amazon.in/Walkway-Mens-Black-Loafers-17-9590/dp/B07S42X1GZ/ref=sr_1_8694?qid=1679148930&s=shoes&sr=1-8694,3.3,3,"₹1,212.77","₹1,299",men's shoes Casual Shoes
Burwood Men's Bwd 215 Leather Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81GV0-AnqiL._AC_UL320_.jpg,https://www.amazon.in/Burwood-Leather-Sneakers-7-BW-215/dp/B07RYWXD6G/ref=sr_1_8695?qid=1679148930&s=shoes&sr=1-8695,3.6,86,₹739,"₹3,699",men's shoes Casual Shoes
BATA Mens London Oxford Suede Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71FzrmrWPHL._AC_UL320_.jpg,https://www.amazon.in/BATA-London-Oxford-Sneakers-9-8219436/dp/B07N23WGPP/ref=sr_1_8696?qid=1679148930&s=shoes&sr=1-8696,3.5,20,,,men's shoes Casual Shoes
Woodland Men Leather Mules,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51qqj3fYghL._AC_UL320_.jpg,https://www.amazon.in/Woodland-Leather-Mules-7-OGC-1665115/dp/B07L6YLXDT/ref=sr_1_8693?qid=1679148932&s=shoes&sr=1-8693,3.9,209,"₹3,596","₹3,995",men's shoes Casual Shoes
Manthan trader Rubber Clogs and Sandals for Men and Boys,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/31ty-GyxZxL._AC_UL320_.jpg,https://www.amazon.in/Manthan-Rubber-Clogs-Sandals-Boys/dp/B07HMNDMRP/ref=sr_1_8694?qid=1679148932&s=shoes&sr=1-8694,,,₹499,"₹1,299",men's shoes Casual Shoes
crocs Unisex-Adult LiteRide Clog,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61TOzYcJdVL._AC_UL320_.jpg,https://www.amazon.in/crocs-Unisexs-LiteRide-Clogs-M6W8-204592-6PL-M6W8/dp/B07DFJCCJF/ref=sr_1_8695?qid=1679148932&s=shoes&sr=1-8695,4.6,111,"₹3,260","₹4,795",men's shoes Casual Shoes
Liberty Men Black Non Lacing Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81VifAKUAJL._AC_UL320_.jpg,https://www.amazon.in/Healers-Liberty-Black-Loafers-9-5555599200430/dp/B07CV9M7S1/ref=sr_1_8696?qid=1679148932&s=shoes&sr=1-8696,,,"₹5,319","₹6,999",men's shoes Casual Shoes
Eego Italy Heavy Duty Genuine Leather Steel Toe Safety Boots,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81Jp4C4IPLL._AC_UL320_.jpg,https://www.amazon.in/Eego-Italy-Genuine-Leather-Safety/dp/B0771S6HXL/ref=sr_1_8697?qid=1679148932&s=shoes&sr=1-8697,4.0,1,₹899,₹999,men's shoes Casual Shoes
Skechers Men's Elite Flex-Wasik Navy Sneakers-8 UK (9 US) (42 EU) (52649-NVY),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71XKVL9I0LL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Elite-Flex-Wasik-Sneakers-8-52649-NVY/dp/B076TF6FHK/ref=sr_1_8698?qid=1679148932&s=shoes&sr=1-8698,4.4,166,"₹4,999","₹5,699",men's shoes Casual Shoes
Vincenzo Men's Leather Boots/Shoes (Black),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71rQdN6zhML._AC_UL320_.jpg,https://www.amazon.in/Vincenzo-Leather-Boots-Shoes-Black/dp/B0764GVB1R/ref=sr_1_8699?qid=1679148932&s=shoes&sr=1-8699,3.7,93,₹999,"₹1,999",men's shoes Casual Shoes
crocs Men's Santa Cruz Espresso Loafers-8 UK (M9) (10128),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/515PnPC-VVS._AC_UL320_.jpg,https://www.amazon.in/crocs-Santa-Cruz-Espresso-Loafers-M9/dp/B00402330I/ref=sr_1_8700?qid=1679148932&s=shoes&sr=1-8700,4.5,435,,"₹11,153.48",men's shoes Casual Shoes
F JACK Young and Killer Casual Loafers Shoes for Men's,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61wchU9ZRqL._AC_UL320_.jpg,https://www.amazon.in/JACK-Killer-Casual-Loafers-Shoes/dp/B0BR3KF3J1/ref=sr_1_8701?qid=1679148932&s=shoes&sr=1-8701,,,,,men's shoes Casual Shoes
FLASHING SHOES Men's Loafer,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/41KRQjhdOqL._AC_UL320_.jpg,https://www.amazon.in/FLASHING-SHOES-Synthetic-Leather-Loafer/dp/B0BPSDC6ZT/ref=sr_1_8702?qid=1679148932&s=shoes&sr=1-8702,5.0,1,₹599,"₹1,999",men's shoes Casual Shoes
"SEGA World Cup Edition Shoes Star Impact PVT LTD (RED, Numeric_7)",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71Ar7lk9KmL._AC_UL320_.jpg,https://www.amazon.in/SEGA-World-Shoes-Impact-Numeric_7/dp/B0BHPCDNW1/ref=sr_1_8703?qid=1679148932&s=shoes&sr=1-8703,3.0,1,₹745,₹750,men's shoes Casual Shoes
Aldo Mens Noredus220 Cognac Adults-Men Synthetic Shoes Platform,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71CpaJTF88L._AC_UL320_.jpg,https://www.amazon.in/Aldo-NOREDUS220-Cognac-Adults-Men-Synthetic/dp/B0BDFRJKMD/ref=sr_1_8704?qid=1679148932&s=shoes&sr=1-8704,,,"₹6,590","₹10,999",men's shoes Casual Shoes
Tanny Shoes Men's Chelsea Casual Ankle Boot,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61GyxN8wsfL._AC_UL320_.jpg,https://www.amazon.in/Tanny-Shoes-Casual-Ankle-Numeric_8/dp/B0B9BXQC2P/ref=sr_1_8705?qid=1679148932&s=shoes&sr=1-8705,,,"₹1,299","₹1,999",men's shoes Casual Shoes
Ezok Leather Casual Loafers for Men (2060),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/611I8oTxabL._AC_UL320_.jpg,https://www.amazon.in/Ezok-Leather-Casual-Loafers-Tan/dp/B0B8Z48WS3/ref=sr_1_8706?qid=1679148932&s=shoes&sr=1-8706,,,"₹3,399","₹3,999",men's shoes Casual Shoes
Axter Men's Stylish (AZ_9434) Black Sports Sneakers Shoes 8 UK,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61sFxPU1FKL._AC_UL320_.jpg,https://www.amazon.in/Axter-Stylish-AZ_9434-Sports-Sneakers/dp/B0B41Y67Z3/ref=sr_1_8707?qid=1679148932&s=shoes&sr=1-8707,,,₹499,₹998,men's shoes Casual Shoes
FURO Low Ankle Sneaker for Men (SNM117),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61qYY2RXnYL._AC_UL320_.jpg,https://www.amazon.in/FURO-Sports-Shoes-Sneaker-Snm117/dp/B0B2K725ZS/ref=sr_1_8708?qid=1679148932&s=shoes&sr=1-8708,3.1,4,₹999,"₹2,699",men's shoes Casual Shoes
TRYME Flipflop Clogs and Mules Deisgn on Top Lightweight Clogs Slip On Flip Flop for Mens and Boys,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/81cffY7aLXL._AC_UL320_.jpg,https://www.amazon.in/TRYME-Flipflop-Clogs-Deisgn-Lightweight/dp/B0B1X86HWY/ref=sr_1_8713?qid=1679148932&s=shoes&sr=1-8713,2.0,5,₹484,₹699,men's shoes Casual Shoes
REGAL Men Casual Slip On Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61aqau6RTwL._AC_UL320_.jpg,https://www.amazon.in/Regal-Brown-Casual-Slip-Shoes/dp/B0B18PP9S5/ref=sr_1_8714?qid=1679148932&s=shoes&sr=1-8714,,,"₹1,995","₹3,990",men's shoes Casual Shoes
Deremz Grey Clogs for Men's,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/41Xkflz2qJL._AC_UL320_.jpg,https://www.amazon.in/Deremz-Grey-Clogs-Mens-Numeric_6/dp/B09XBMDBZQ/ref=sr_1_8715?qid=1679148932&s=shoes&sr=1-8715,3.0,6,₹449,₹600,men's shoes Casual Shoes
Leather Police Boot Side Zip,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71LfH2deHDL._AC_UL320_.jpg,https://www.amazon.in/Limberwalk-Leather-Police-Boot-Black/dp/B09VHB2DHT/ref=sr_1_8716?qid=1679148932&s=shoes&sr=1-8716,5.0,1,"₹1,449","₹2,249",men's shoes Casual Shoes
Fila Womens Nitebeat Low Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71vfGgY40eL._AC_UL320_.jpg,https://www.amazon.in/Fila-Womens-NITEBEAT-Sneaker-11009800/dp/B09MW77H1Q/ref=sr_1_8717?qid=1679148932&s=shoes&sr=1-8717,5.0,2,"₹1,849","₹3,699",men's shoes Casual Shoes
Woodland Men's Gc 3606119 Leather Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71QvTZxtd6L._AC_UL320_.jpg,https://www.amazon.in/Woodland-Leather-Shoe-42-GC-3606119/dp/B09M9174KZ/ref=sr_1_8718?qid=1679148932&s=shoes&sr=1-8718,3.1,19,"₹2,796","₹3,495",men's shoes Casual Shoes
Michael Angelo Men's Texas 8501 Leather Loafer,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51EZldm68HL._AC_UL320_.jpg,https://www.amazon.in/Michael-Angelo-Texas-8501-Loafer/dp/B09KRP96CL/ref=sr_1_8719?qid=1679148932&s=shoes&sr=1-8719,4.5,2,"₹2,256","₹2,999",men's shoes Casual Shoes
"SPENO Men's Black Synthetic Loafers for Men,8 UK(ANIL-015-BLACK-08)",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71lkyArkYCL._AC_UL320_.jpg,https://www.amazon.in/SPENO-Mens-Black-Synthetic-Loafers/dp/B09CQBRQ2W/ref=sr_1_8720?qid=1679148932&s=shoes&sr=1-8720,3.2,12,₹299,"₹1,249",men's shoes Casual Shoes
ROCKFIELD Men's Black Sneakers Casual Shoes for Men's & Boys Shoes 390,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51Q8LL5pLtS._AC_UL320_.jpg,https://www.amazon.in/ROCKFIELD-Black-Sneakers-Casual-Numeric_7/dp/B098QC4QWV/ref=sr_1_8721?qid=1679148932&s=shoes&sr=1-8721,3.1,51,₹499,₹999,men's shoes Casual Shoes
